amount,base_currency,date,currency,exchange_rate
1.0,USD,2002-10-29,AUD,1.7901
1.0,USD,2002-10-29,BGN,1.9818
1.0,USD,2002-10-29,CAD,1.561
1.0,USD,2002-10-29,CHF,1.4926
1.0,USD,2002-10-29,CYP,0.58237
1.0,USD,2002-10-29,CZK,31.485
1.0,USD,2002-10-29,DKK,7.5683
1.0,USD,2002-10-29,EEK,15.9334
1.0,USD,2002-10-29,EUR,1.0183
1.0,USD,2002-10-29,GBP,0.64226
1.0,USD,2002-10-29,HKD,7.7992
1.0,USD,2002-10-29,HUF,245.91
1.0,USD,2002-10-29,ISK,88.3
1.0,USD,2002-10-29,JPY,123.43
1.0,USD,2002-10-29,KRW,1222.4
1.0,USD,2002-10-29,LTL,3.5156
1.0,USD,2002-10-29,LVL,0.60652
1.0,USD,2002-10-29,MTL,0.42057
1.0,USD,2002-10-29,NOK,7.5265
1.0,USD,2002-10-29,NZD,2.0494
1.0,USD,2002-10-29,PLN,4.0477
1.0,USD,2002-10-29,ROL,33510.0
1.0,USD,2002-10-29,SEK,9.2725
1.0,USD,2002-10-29,SGD,1.7706
1.0,USD,2002-10-29,SIT,233.4
1.0,USD,2002-10-29,SKK,42.368
1.0,USD,2002-10-29,TRL,1675153.0
1.0,USD,2002-10-29,ZAR,10.0432
