amount,base_currency,date,currency,exchange_rate
1.0,USD,2018-12-21,AUD,1.4089
1.0,USD,2018-12-21,BGN,1.7135
1.0,USD,2018-12-21,BRL,3.8636
1.0,USD,2018-12-21,CAD,1.3544
1.0,USD,2018-12-21,CHF,0.99106
1.0,USD,2018-12-21,CNY,6.906
1.0,USD,2018-12-21,CZK,22.652
1.0,USD,2018-12-21,DKK,6.542
1.0,USD,2018-12-21,EUR,0.87612
1.0,USD,2018-12-21,GBP,0.79039
1.0,USD,2018-12-21,HKD,7.8297
1.0,USD,2018-12-21,HRK,6.5022
1.0,USD,2018-12-21,HUF,282.08
1.0,USD,2018-12-21,IDR,14628.0
1.0,USD,2018-12-21,ILS,3.7712
1.0,USD,2018-12-21,INR,70.124
1.0,USD,2018-12-21,ISK,117.49
1.0,USD,2018-12-21,JPY,111.25
1.0,USD,2018-12-21,KRW,1123.8
1.0,USD,2018-12-21,MXN,19.936
1.0,USD,2018-12-21,MYR,4.171
1.0,USD,2018-12-21,NOK,8.7111
1.0,USD,2018-12-21,NZD,1.4828
1.0,USD,2018-12-21,PHP,53.045
1.0,USD,2018-12-21,PLN,3.7542
1.0,USD,2018-12-21,RON,4.0642
1.0,USD,2018-12-21,RUB,68.521
1.0,USD,2018-12-21,SEK,9.0006
1.0,USD,2018-12-21,SGD,1.3703
1.0,USD,2018-12-21,THB,32.65
1.0,USD,2018-12-21,TRY,5.3045
1.0,USD,2018-12-21,ZAR,14.4343
