amount,base_currency,date,currency,exchange_rate
1.0,USD,2020-04-08,AUD,1.6186
1.0,USD,2020-04-08,BGN,1.7991
1.0,USD,2020-04-08,BRL,5.2195
1.0,USD,2020-04-08,CAD,1.4013
1.0,USD,2020-04-08,CHF,0.97112
1.0,USD,2020-04-08,CNY,7.0663
1.0,USD,2020-04-08,CZK,25.005
1.0,USD,2020-04-08,DKK,6.866
1.0,USD,2020-04-08,EUR,0.91988
1.0,USD,2020-04-08,GBP,0.80901
1.0,USD,2020-04-08,HKD,7.7525
1.0,USD,2020-04-08,HRK,7.0127
1.0,USD,2020-04-08,HUF,330.55
1.0,USD,2020-04-08,IDR,16223.0
1.0,USD,2020-04-08,ILS,3.5925
1.0,USD,2020-04-08,INR,76.23
1.0,USD,2020-04-08,ISK,143.32
1.0,USD,2020-04-08,JPY,108.88
1.0,USD,2020-04-08,KRW,1218.25
1.0,USD,2020-04-08,MXN,24.227
1.0,USD,2020-04-08,MYR,4.3486
1.0,USD,2020-04-08,NOK,10.2971
1.0,USD,2020-04-08,NZD,1.6736
1.0,USD,2020-04-08,PHP,50.572
1.0,USD,2020-04-08,PLN,4.1801
1.0,USD,2020-04-08,RON,4.449
1.0,USD,2020-04-08,RUB,75.522
1.0,USD,2020-04-08,SEK,10.0621
1.0,USD,2020-04-08,SGD,1.4274
1.0,USD,2020-04-08,THB,32.76
1.0,USD,2020-04-08,TRY,6.7885
1.0,USD,2020-04-08,ZAR,18.179
