amount,base_currency,date,currency,exchange_rate
1.0,USD,2013-05-16,AUD,1.0178
1.0,USD,2013-05-16,BGN,1.5173
1.0,USD,2013-05-16,BRL,2.0288
1.0,USD,2013-05-16,CAD,1.0194
1.0,USD,2013-05-16,CHF,0.9654
1.0,USD,2013-05-16,CNY,6.1492
1.0,USD,2013-05-16,CZK,20.155
1.0,USD,2013-05-16,DKK,5.7819
1.0,USD,2013-05-16,EUR,0.7758
1.0,USD,2013-05-16,GBP,0.65593
1.0,USD,2013-05-16,HKD,7.7633
1.0,USD,2013-05-16,HRK,5.8724
1.0,USD,2013-05-16,HUF,225.38
1.0,USD,2013-05-16,IDR,9758.0
1.0,USD,2013-05-16,ILS,3.6455
1.0,USD,2013-05-16,INR,54.775
1.0,USD,2013-05-16,JPY,102.52
1.0,USD,2013-05-16,KRW,1118.57
1.0,USD,2013-05-16,LTL,2.6787
1.0,USD,2013-05-16,LVL,0.54244
1.0,USD,2013-05-16,MXN,12.265
1.0,USD,2013-05-16,MYR,3.0115
1.0,USD,2013-05-16,NOK,5.8464
1.0,USD,2013-05-16,NZD,1.2254
1.0,USD,2013-05-16,PHP,41.296
1.0,USD,2013-05-16,PLN,3.2449
1.0,USD,2013-05-16,RON,3.3625
1.0,USD,2013-05-16,RUB,31.385
1.0,USD,2013-05-16,SEK,6.6635
1.0,USD,2013-05-16,SGD,1.2529
1.0,USD,2013-05-16,THB,29.8
1.0,USD,2013-05-16,TRY,1.8302
1.0,USD,2013-05-16,ZAR,9.3654
