amount,base_currency,date,currency,exchange_rate
1.0,USD,2022-04-27,AUD,1.4011
1.0,USD,2022-04-27,BGN,1.8481
1.0,USD,2022-04-27,BRL,5.0123
1.0,USD,2022-04-27,CAD,1.2824
1.0,USD,2022-04-27,CHF,0.96655
1.0,USD,2022-04-27,CNY,6.5555
1.0,USD,2022-04-27,CZK,23.198
1.0,USD,2022-04-27,DKK,7.0311
1.0,USD,2022-04-27,EUR,0.94491
1.0,USD,2022-04-27,GBP,0.79576
1.0,USD,2022-04-27,HKD,7.847
1.0,USD,2022-04-27,HRK,7.1483
1.0,USD,2022-04-27,HUF,358.82
1.0,USD,2022-04-27,IDR,14419.0
1.0,USD,2022-04-27,ILS,3.324
1.0,USD,2022-04-27,INR,76.604
1.0,USD,2022-04-27,ISK,130.59
1.0,USD,2022-04-27,JPY,128.1
1.0,USD,2022-04-27,KRW,1268.05
1.0,USD,2022-04-27,MXN,20.435
1.0,USD,2022-04-27,MYR,4.36
1.0,USD,2022-04-27,NOK,9.2448
1.0,USD,2022-04-27,NZD,1.523
1.0,USD,2022-04-27,PHP,52.154
1.0,USD,2022-04-27,PLN,4.4451
1.0,USD,2022-04-27,RON,4.6754
1.0,USD,2022-04-27,SEK,9.8304
1.0,USD,2022-04-27,SGD,1.3798
1.0,USD,2022-04-27,THB,34.33
1.0,USD,2022-04-27,TRY,14.8216
1.0,USD,2022-04-27,ZAR,15.9129
