amount,base_currency,date,currency,exchange_rate
1.0,USD,2001-08-20,AUD,1.874
1.0,USD,2001-08-20,BGN,2.1272
1.0,USD,2001-08-20,CAD,1.5461
1.0,USD,2001-08-20,CHF,1.66
1.0,USD,2001-08-20,CYP,0.62749
1.0,USD,2001-08-20,CZK,37.253
1.0,USD,2001-08-20,DKK,8.1385
1.0,USD,2001-08-20,EEK,17.102
1.0,USD,2001-08-20,EUR,1.093
1.0,USD,2001-08-20,GBP,0.69188
1.0,USD,2001-08-20,HKD,7.7998
1.0,USD,2001-08-20,HUF,279.7
1.0,USD,2001-08-20,ISK,97.55
1.0,USD,2001-08-20,JPY,120.43
1.0,USD,2001-08-20,KRW,1281.0
1.0,USD,2001-08-20,LTL,3.999
1.0,USD,2001-08-20,LVL,0.62029
1.0,USD,2001-08-20,MTL,0.44475
1.0,USD,2001-08-20,NOK,8.8682
1.0,USD,2001-08-20,NZD,2.2805
1.0,USD,2001-08-20,PLN,4.3008
1.0,USD,2001-08-20,ROL,29775.0
1.0,USD,2001-08-20,SEK,10.3
1.0,USD,2001-08-20,SGD,1.7576
1.0,USD,2001-08-20,SIT,239.87
1.0,USD,2001-08-20,SKK,47.183
1.0,USD,2001-08-20,TRL,1422013.0
1.0,USD,2001-08-20,ZAR,8.3124
