amount,base_currency,date,currency,exchange_rate
1.0,USD,2001-03-26,AUD,2.0229
1.0,USD,2001-03-26,BGN,2.1791
1.0,USD,2001-03-26,CAD,1.5615
1.0,USD,2001-03-26,CHF,1.7155
1.0,USD,2001-03-26,CYP,0.64739
1.0,USD,2001-03-26,CZK,38.388
1.0,USD,2001-03-26,DKK,8.3549
1.0,USD,2001-03-26,EEK,17.5116
1.0,USD,2001-03-26,EUR,1.1192
1.0,USD,2001-03-26,GBP,0.69737
1.0,USD,2001-03-26,HKD,7.7998
1.0,USD,2001-03-26,HUF,298.38
1.0,USD,2001-03-26,ISK,88.68
1.0,USD,2001-03-26,JPY,123.2
1.0,USD,2001-03-26,KRW,1310.65
1.0,USD,2001-03-26,LTL,3.999
1.0,USD,2001-03-26,LVL,0.62955
1.0,USD,2001-03-26,MTL,0.45104
1.0,USD,2001-03-26,NOK,9.0464
1.0,USD,2001-03-26,NZD,2.4429
1.0,USD,2001-03-26,PLN,4.1155
1.0,USD,2001-03-26,ROL,27454.0
1.0,USD,2001-03-26,SEK,10.2272
1.0,USD,2001-03-26,SGD,1.7929
1.0,USD,2001-03-26,SIT,241.91
1.0,USD,2001-03-26,SKK,48.778
1.0,USD,2001-03-26,TRL,984473.0
1.0,USD,2001-03-26,ZAR,7.951
