amount,base_currency,date,currency,exchange_rate
1.0,USD,2003-03-27,AUD,1.6648
1.0,USD,2003-03-27,BGN,1.8181
1.0,USD,2003-03-27,CAD,1.4652
1.0,USD,2003-03-27,CHF,1.3796
1.0,USD,2003-03-27,CYP,0.54466
1.0,USD,2003-03-27,CZK,29.677
1.0,USD,2003-03-27,DKK,6.9256
1.0,USD,2003-03-27,EEK,14.5916
1.0,USD,2003-03-27,EUR,0.93257
1.0,USD,2003-03-27,GBP,0.63518
1.0,USD,2003-03-27,HKD,7.7992
1.0,USD,2003-03-27,HUF,229.77
1.0,USD,2003-03-27,ISK,78.504
1.0,USD,2003-03-27,JPY,119.73
1.0,USD,2003-03-27,KRW,1246.7
1.0,USD,2003-03-27,LTL,3.2202
1.0,USD,2003-03-27,LVL,0.58137
1.0,USD,2003-03-27,MTL,0.39439
1.0,USD,2003-03-27,NOK,7.3128
1.0,USD,2003-03-27,NZD,1.8195
1.0,USD,2003-03-27,PLN,4.0648
1.0,USD,2003-03-27,ROL,33517.0
1.0,USD,2003-03-27,SEK,8.6288
1.0,USD,2003-03-27,SGD,1.7683
1.0,USD,2003-03-27,SIT,216.14
1.0,USD,2003-03-27,SKK,38.639
1.0,USD,2003-03-27,TRL,1721533.0
1.0,USD,2003-03-27,ZAR,7.9661
