amount,base_currency,date,currency,exchange_rate
1.0,USD,2004-02-04,AUD,1.3105
1.0,USD,2004-02-04,BGN,1.5616
1.0,USD,2004-02-04,CAD,1.3423
1.0,USD,2004-02-04,CHF,1.253
1.0,USD,2004-02-04,CYP,0.46804
1.0,USD,2004-02-04,CZK,26.507
1.0,USD,2004-02-04,DKK,5.9496
1.0,USD,2004-02-04,EEK,12.4933
1.0,USD,2004-02-04,EUR,0.79847
1.0,USD,2004-02-04,GBP,0.54447
1.0,USD,2004-02-04,HKD,7.7764
1.0,USD,2004-02-04,HUF,211.22
1.0,USD,2004-02-04,ISK,69.027
1.0,USD,2004-02-04,JPY,105.43
1.0,USD,2004-02-04,KRW,1168.3
1.0,USD,2004-02-04,LTL,2.7574
1.0,USD,2004-02-04,LVL,0.5321
1.0,USD,2004-02-04,MTL,0.3423
1.0,USD,2004-02-04,NOK,6.9634
1.0,USD,2004-02-04,NZD,1.4724
1.0,USD,2004-02-04,PLN,3.817
1.0,USD,2004-02-04,ROL,32339.0
1.0,USD,2004-02-04,SEK,7.333
1.0,USD,2004-02-04,SGD,1.6939
1.0,USD,2004-02-04,SIT,189.49
1.0,USD,2004-02-04,SKK,32.394
1.0,USD,2004-02-04,TRL,1333440.0
1.0,USD,2004-02-04,ZAR,6.9397
