amount,base_currency,date,currency,exchange_rate
1.0,USD,2011-12-06,AUD,0.9776
1.0,USD,2011-12-06,BGN,1.4602
1.0,USD,2011-12-06,BRL,1.7915
1.0,USD,2011-12-06,CAD,1.0184
1.0,USD,2011-12-06,CHF,0.92489
1.0,USD,2011-12-06,CNY,6.3347
1.0,USD,2011-12-06,CZK,18.8368
1.0,USD,2011-12-06,DKK,5.5508
1.0,USD,2011-12-06,EUR,0.7466
1.0,USD,2011-12-06,GBP,0.6395
1.0,USD,2011-12-06,HKD,7.7718
1.0,USD,2011-12-06,HRK,5.607
1.0,USD,2011-12-06,HUF,224.13
1.0,USD,2011-12-06,IDR,9053.0
1.0,USD,2011-12-06,ILS,3.7406
1.0,USD,2011-12-06,INR,51.315
1.0,USD,2011-12-06,JPY,77.759
1.0,USD,2011-12-06,KRW,1130.18
1.0,USD,2011-12-06,LTL,2.5779
1.0,USD,2011-12-06,LVL,0.52098
1.0,USD,2011-12-06,MXN,13.5165
1.0,USD,2011-12-06,MYR,3.135
1.0,USD,2011-12-06,NOK,5.7608
1.0,USD,2011-12-06,NZD,1.2848
1.0,USD,2011-12-06,PHP,43.386
1.0,USD,2011-12-06,PLN,3.326
1.0,USD,2011-12-06,RON,3.2507
1.0,USD,2011-12-06,RUB,31.266
1.0,USD,2011-12-06,SEK,6.7606
1.0,USD,2011-12-06,SGD,1.2859
1.0,USD,2011-12-06,THB,30.83
1.0,USD,2011-12-06,TRY,1.838
1.0,USD,2011-12-06,ZAR,8.0628
