amount,base_currency,date,currency,exchange_rate
1.0,USD,2018-06-11,AUD,1.3148
1.0,USD,2018-06-11,BGN,1.6589
1.0,USD,2018-06-11,BRL,3.7237
1.0,USD,2018-06-11,CAD,1.3018
1.0,USD,2018-06-11,CHF,0.98651
1.0,USD,2018-06-11,CNY,6.4053
1.0,USD,2018-06-11,CZK,21.783
1.0,USD,2018-06-11,DKK,6.3182
1.0,USD,2018-06-11,EUR,0.84818
1.0,USD,2018-06-11,GBP,0.74792
1.0,USD,2018-06-11,HKD,7.8463
1.0,USD,2018-06-11,HRK,6.2585
1.0,USD,2018-06-11,HUF,272.82
1.0,USD,2018-06-11,IDR,13975.0
1.0,USD,2018-06-11,ILS,3.5729
1.0,USD,2018-06-11,INR,67.428
1.0,USD,2018-06-11,ISK,105.94
1.0,USD,2018-06-11,JPY,109.94
1.0,USD,2018-06-11,KRW,1075.62
1.0,USD,2018-06-11,MXN,20.414
1.0,USD,2018-06-11,MYR,3.988
1.0,USD,2018-06-11,NOK,8.0588
1.0,USD,2018-06-11,NZD,1.4219
1.0,USD,2018-06-11,PHP,53.06
1.0,USD,2018-06-11,PLN,3.6191
1.0,USD,2018-06-11,RON,3.9517
1.0,USD,2018-06-11,RUB,62.587
1.0,USD,2018-06-11,SEK,8.6964
1.0,USD,2018-06-11,SGD,1.3348
1.0,USD,2018-06-11,THB,32.08
1.0,USD,2018-06-11,TRY,4.5204
1.0,USD,2018-06-11,ZAR,13.146
