amount,base_currency,date,currency,exchange_rate
1.0,USD,2018-04-19,AUD,1.2835
1.0,USD,2018-04-19,BGN,1.5796
1.0,USD,2018-04-19,BRL,3.386
1.0,USD,2018-04-19,CAD,1.2604
1.0,USD,2018-04-19,CHF,0.96721
1.0,USD,2018-04-19,CNY,6.2766
1.0,USD,2018-04-19,CZK,20.455
1.0,USD,2018-04-19,DKK,6.015
1.0,USD,2018-04-19,EUR,0.80762
1.0,USD,2018-04-19,GBP,0.70243
1.0,USD,2018-04-19,HKD,7.8487
1.0,USD,2018-04-19,HRK,5.9861
1.0,USD,2018-04-19,HUF,250.66
1.0,USD,2018-04-19,IDR,13787.0
1.0,USD,2018-04-19,ILS,3.5081
1.0,USD,2018-04-19,INR,65.789
1.0,USD,2018-04-19,ISK,99.58
1.0,USD,2018-04-19,JPY,107.32
1.0,USD,2018-04-19,KRW,1061.52
1.0,USD,2018-04-19,MXN,18.1449
1.0,USD,2018-04-19,MYR,3.8835
1.0,USD,2018-04-19,NOK,7.7391
1.0,USD,2018-04-19,NZD,1.368
1.0,USD,2018-04-19,PHP,52.037
1.0,USD,2018-04-19,PLN,3.3649
1.0,USD,2018-04-19,RON,3.7611
1.0,USD,2018-04-19,RUB,60.804
1.0,USD,2018-04-19,SEK,8.3814
1.0,USD,2018-04-19,SGD,1.309
1.0,USD,2018-04-19,THB,31.21
1.0,USD,2018-04-19,TRY,4.025
1.0,USD,2018-04-19,ZAR,11.9377
