amount,base_currency,date,currency,exchange_rate
1.0,USD,2011-07-08,AUD,0.92901
1.0,USD,2011-07-08,BGN,1.3733
1.0,USD,2011-07-08,BRL,1.5598
1.0,USD,2011-07-08,CAD,0.95808
1.0,USD,2011-07-08,CHF,0.84974
1.0,USD,2011-07-08,CNY,6.4648
1.0,USD,2011-07-08,CZK,17.0088
1.0,USD,2011-07-08,DKK,5.2371
1.0,USD,2011-07-08,EUR,0.70215
1.0,USD,2011-07-08,GBP,0.62716
1.0,USD,2011-07-08,HKD,7.7815
1.0,USD,2011-07-08,HRK,5.1896
1.0,USD,2011-07-08,HUF,184.72
1.0,USD,2011-07-08,IDR,8519.0
1.0,USD,2011-07-08,ILS,3.4023
1.0,USD,2011-07-08,INR,44.395
1.0,USD,2011-07-08,JPY,81.44
1.0,USD,2011-07-08,KRW,1057.13
1.0,USD,2011-07-08,LTL,2.4244
1.0,USD,2011-07-08,LVL,0.49789
1.0,USD,2011-07-08,MXN,11.5497
1.0,USD,2011-07-08,MYR,2.9887
1.0,USD,2011-07-08,NOK,5.4381
1.0,USD,2011-07-08,NZD,1.2014
1.0,USD,2011-07-08,PHP,42.755
1.0,USD,2011-07-08,PLN,2.7665
1.0,USD,2011-07-08,RON,2.9497
1.0,USD,2011-07-08,RUB,27.962
1.0,USD,2011-07-08,SEK,6.3782
1.0,USD,2011-07-08,SGD,1.2192
1.0,USD,2011-07-08,THB,30.21
1.0,USD,2011-07-08,TRY,1.6236
1.0,USD,2011-07-08,ZAR,6.6776
