amount,base_currency,date,currency,exchange_rate
1.0,USD,2015-10-21,AUD,1.3834
1.0,USD,2015-10-21,BGN,1.7226
1.0,USD,2015-10-21,BRL,3.9261
1.0,USD,2015-10-21,CAD,1.3003
1.0,USD,2015-10-21,CHF,0.95684
1.0,USD,2015-10-21,CNY,6.3491
1.0,USD,2015-10-21,CZK,23.85
1.0,USD,2015-10-21,DKK,6.57
1.0,USD,2015-10-21,EUR,0.88075
1.0,USD,2015-10-21,GBP,0.64726
1.0,USD,2015-10-21,HKD,7.7501
1.0,USD,2015-10-21,HRK,6.7082
1.0,USD,2015-10-21,HUF,274.13
1.0,USD,2015-10-21,IDR,13748.0
1.0,USD,2015-10-21,ILS,3.8598
1.0,USD,2015-10-21,INR,65.126
1.0,USD,2015-10-21,JPY,120.05
1.0,USD,2015-10-21,KRW,1138.5
1.0,USD,2015-10-21,MXN,16.65
1.0,USD,2015-10-21,MYR,4.2865
1.0,USD,2015-10-21,NOK,8.1579
1.0,USD,2015-10-21,NZD,1.4857
1.0,USD,2015-10-21,PHP,46.442
1.0,USD,2015-10-21,PLN,3.7658
1.0,USD,2015-10-21,RON,3.903
1.0,USD,2015-10-21,RUB,62.832
1.0,USD,2015-10-21,SEK,8.2983
1.0,USD,2015-10-21,SGD,1.3929
1.0,USD,2015-10-21,THB,35.56
1.0,USD,2015-10-21,TRY,2.9055
1.0,USD,2015-10-21,ZAR,13.4265
