amount,base_currency,date,currency,exchange_rate
1.0,USD,2007-06-08,AUD,1.1889
1.0,USD,2007-06-08,BGN,1.4651
1.0,USD,2007-06-08,CAD,1.0683
1.0,USD,2007-06-08,CHF,1.2342
1.0,USD,2007-06-08,CNY,7.655
1.0,USD,2007-06-08,CYP,0.43711
1.0,USD,2007-06-08,CZK,21.29
1.0,USD,2007-06-08,DKK,5.5777
1.0,USD,2007-06-08,EEK,11.7212
1.0,USD,2007-06-08,EUR,0.74912
1.0,USD,2007-06-08,GBP,0.50854
1.0,USD,2007-06-08,HKD,7.8153
1.0,USD,2007-06-08,HRK,5.5045
1.0,USD,2007-06-08,HUF,190.82
1.0,USD,2007-06-08,IDR,9105.0
1.0,USD,2007-06-08,ISK,64.334
1.0,USD,2007-06-08,JPY,121.66
1.0,USD,2007-06-08,KRW,931.05
1.0,USD,2007-06-08,LTL,2.5866
1.0,USD,2007-06-08,LVL,0.52191
1.0,USD,2007-06-08,MTL,0.3216
1.0,USD,2007-06-08,MYR,3.4655
1.0,USD,2007-06-08,NOK,6.0682
1.0,USD,2007-06-08,NZD,1.3301
1.0,USD,2007-06-08,PHP,46.54
1.0,USD,2007-06-08,PLN,2.8817
1.0,USD,2007-06-08,RON,2.4602
1.0,USD,2007-06-08,RUB,25.992
1.0,USD,2007-06-08,SEK,6.9987
1.0,USD,2007-06-08,SGD,1.5431
1.0,USD,2007-06-08,SKK,25.768
1.0,USD,2007-06-08,THB,32.607
1.0,USD,2007-06-08,TRY,1.3501
1.0,USD,2007-06-08,ZAR,7.3043
