amount,base_currency,date,currency,exchange_rate
1.0,USD,2023-10-19,AUD,1.5834
1.0,USD,2023-10-19,BGN,1.8524
1.0,USD,2023-10-19,BRL,5.0691
1.0,USD,2023-10-19,CAD,1.3719
1.0,USD,2023-10-19,CHF,0.89695
1.0,USD,2023-10-19,CNY,7.3151
1.0,USD,2023-10-19,CZK,23.37
1.0,USD,2023-10-19,DKK,7.0681
1.0,USD,2023-10-19,EUR,0.94715
1.0,USD,2023-10-19,GBP,0.82495
1.0,USD,2023-10-19,HKD,7.8257
1.0,USD,2023-10-19,HUF,363.7
1.0,USD,2023-10-19,IDR,15855.0
1.0,USD,2023-10-19,ILS,4.0319
1.0,USD,2023-10-19,INR,83.23
1.0,USD,2023-10-19,ISK,138.57
1.0,USD,2023-10-19,JPY,149.85
1.0,USD,2023-10-19,KRW,1358.97
1.0,USD,2023-10-19,MXN,18.3445
1.0,USD,2023-10-19,MYR,4.766
1.0,USD,2023-10-19,NOK,11.0791
1.0,USD,2023-10-19,NZD,1.7161
1.0,USD,2023-10-19,PHP,56.87
1.0,USD,2023-10-19,PLN,4.2148
1.0,USD,2023-10-19,RON,4.7117
1.0,USD,2023-10-19,SEK,11.0016
1.0,USD,2023-10-19,SGD,1.3733
1.0,USD,2023-10-19,THB,36.47
1.0,USD,2023-10-19,TRY,27.998
1.0,USD,2023-10-19,ZAR,19.1315
