amount,base_currency,date,currency,exchange_rate
1.0,USD,2005-07-12,AUD,1.3269
1.0,USD,2005-07-12,BGN,1.6077
1.0,USD,2005-07-12,CAD,1.2117
1.0,USD,2005-07-12,CHF,1.2792
1.0,USD,2005-07-12,CNY,8.2765
1.0,USD,2005-07-12,CYP,0.47148
1.0,USD,2005-07-12,CZK,24.832
1.0,USD,2005-07-12,DKK,6.1295
1.0,USD,2005-07-12,EEK,12.8609
1.0,USD,2005-07-12,EUR,0.82196
1.0,USD,2005-07-12,GBP,0.56563
1.0,USD,2005-07-12,HKD,7.7768
1.0,USD,2005-07-12,HRK,6.0108
1.0,USD,2005-07-12,HUF,202.42
1.0,USD,2005-07-12,IDR,9782.0
1.0,USD,2005-07-12,ISK,64.845
1.0,USD,2005-07-12,JPY,111.24
1.0,USD,2005-07-12,KRW,1039.5
1.0,USD,2005-07-12,LTL,2.8381
1.0,USD,2005-07-12,LVL,0.57192
1.0,USD,2005-07-12,MTL,0.35287
1.0,USD,2005-07-12,MYR,3.8
1.0,USD,2005-07-12,NOK,6.4906
1.0,USD,2005-07-12,NZD,1.4628
1.0,USD,2005-07-12,PHP,56.05
1.0,USD,2005-07-12,PLN,3.3733
1.0,USD,2005-07-12,RON,2.9356
1.0,USD,2005-07-12,RUB,28.592
1.0,USD,2005-07-12,SEK,7.7725
1.0,USD,2005-07-12,SGD,1.6881
1.0,USD,2005-07-12,SIT,196.83
1.0,USD,2005-07-12,SKK,31.876
1.0,USD,2005-07-12,THB,41.768
1.0,USD,2005-07-12,TRY,1.3397
1.0,USD,2005-07-12,ZAR,6.66
