amount,base_currency,date,currency,exchange_rate
1.0,USD,2010-11-17,AUD,1.0237
1.0,USD,2010-11-17,BGN,1.4508
1.0,USD,2010-11-17,BRL,1.7373
1.0,USD,2010-11-17,CAD,1.022
1.0,USD,2010-11-17,CHF,0.99592
1.0,USD,2010-11-17,CNY,6.6425
1.0,USD,2010-11-17,CZK,18.2442
1.0,USD,2010-11-17,DKK,5.53
1.0,USD,2010-11-17,EEK,11.6064
1.0,USD,2010-11-17,EUR,0.74178
1.0,USD,2010-11-17,GBP,0.62974
1.0,USD,2010-11-17,HKD,7.7565
1.0,USD,2010-11-17,HRK,5.4837
1.0,USD,2010-11-17,HUF,206.3
1.0,USD,2010-11-17,IDR,9005.0
1.0,USD,2010-11-17,INR,45.373
1.0,USD,2010-11-17,JPY,83.45
1.0,USD,2010-11-17,KRW,1146.46
1.0,USD,2010-11-17,LTL,2.5612
1.0,USD,2010-11-17,LVL,0.5263
1.0,USD,2010-11-17,MXN,12.3971
1.0,USD,2010-11-17,MYR,3.1596
1.0,USD,2010-11-17,NOK,6.0715
1.0,USD,2010-11-17,NZD,1.3032
1.0,USD,2010-11-17,PHP,43.987
1.0,USD,2010-11-17,PLN,2.9404
1.0,USD,2010-11-17,RON,3.1871
1.0,USD,2010-11-17,RUB,31.39
1.0,USD,2010-11-17,SEK,6.9713
1.0,USD,2010-11-17,SGD,1.3062
1.0,USD,2010-11-17,THB,30.035
1.0,USD,2010-11-17,TRY,1.4606
1.0,USD,2010-11-17,ZAR,7.0665
