amount,base_currency,date,currency,exchange_rate
1.0,USD,2025-04-22,AUD,1.5637
1.0,USD,2025-04-22,BGN,1.7043
1.0,USD,2025-04-22,BRL,5.7961
1.0,USD,2025-04-22,CAD,1.3847
1.0,USD,2025-04-22,CHF,0.81196
1.0,USD,2025-04-22,CNY,7.3134
1.0,USD,2025-04-22,CZK,21.855
1.0,USD,2025-04-22,DKK,6.5054
1.0,USD,2025-04-22,EUR,0.87138
1.0,USD,2025-04-22,GBP,0.74815
1.0,USD,2025-04-22,HKD,7.7577
1.0,USD,2025-04-22,HUF,356.73
1.0,USD,2025-04-22,IDR,16842.0
1.0,USD,2025-04-22,ILS,3.7192
1.0,USD,2025-04-22,INR,85.2
1.0,USD,2025-04-22,ISK,126.26
1.0,USD,2025-04-22,JPY,140.34
1.0,USD,2025-04-22,KRW,1425.18
1.0,USD,2025-04-22,MXN,19.6575
1.0,USD,2025-04-22,MYR,4.3915
1.0,USD,2025-04-22,NOK,10.3594
1.0,USD,2025-04-22,NZD,1.6679
1.0,USD,2025-04-22,PHP,56.608
1.0,USD,2025-04-22,PLN,3.7295
1.0,USD,2025-04-22,RON,4.3371
1.0,USD,2025-04-22,SEK,9.5114
1.0,USD,2025-04-22,SGD,1.308
1.0,USD,2025-04-22,THB,33.235
1.0,USD,2025-04-22,TRY,38.26
1.0,USD,2025-04-22,ZAR,18.6232
