amount,base_currency,date,currency,exchange_rate
1.0,USD,2011-10-19,AUD,0.96919
1.0,USD,2011-10-19,BGN,1.4144
1.0,USD,2011-10-19,BRL,1.7559
1.0,USD,2011-10-19,CAD,1.0111
1.0,USD,2011-10-19,CHF,0.89876
1.0,USD,2011-10-19,CNY,6.3786
1.0,USD,2011-10-19,CZK,17.9874
1.0,USD,2011-10-19,DKK,5.3844
1.0,USD,2011-10-19,EUR,0.72317
1.0,USD,2011-10-19,GBP,0.63274
1.0,USD,2011-10-19,HKD,7.7764
1.0,USD,2011-10-19,HRK,5.3985
1.0,USD,2011-10-19,HUF,213.91
1.0,USD,2011-10-19,IDR,8800.0
1.0,USD,2011-10-19,ILS,3.6368
1.0,USD,2011-10-19,INR,49.165
1.0,USD,2011-10-19,JPY,76.793
1.0,USD,2011-10-19,KRW,1132.83
1.0,USD,2011-10-19,LTL,2.497
1.0,USD,2011-10-19,LVL,0.5102
1.0,USD,2011-10-19,MXN,13.3698
1.0,USD,2011-10-19,MYR,3.1065
1.0,USD,2011-10-19,NOK,5.5937
1.0,USD,2011-10-19,NZD,1.2515
1.0,USD,2011-10-19,PHP,43.157
1.0,USD,2011-10-19,PLN,3.135
1.0,USD,2011-10-19,RON,3.1378
1.0,USD,2011-10-19,RUB,31.002
1.0,USD,2011-10-19,SEK,6.5986
1.0,USD,2011-10-19,SGD,1.2609
1.0,USD,2011-10-19,THB,30.69
1.0,USD,2011-10-19,TRY,1.854
1.0,USD,2011-10-19,ZAR,7.9881
