amount,base_currency,date,currency,exchange_rate
1.0,USD,2020-09-02,AUD,1.3634
1.0,USD,2020-09-02,BGN,1.6489
1.0,USD,2020-09-02,BRL,5.4131
1.0,USD,2020-09-02,CAD,1.3064
1.0,USD,2020-09-02,CHF,0.91046
1.0,USD,2020-09-02,CNY,6.8271
1.0,USD,2020-09-02,CZK,22.206
1.0,USD,2020-09-02,DKK,6.2737
1.0,USD,2020-09-02,EUR,0.8431
1.0,USD,2020-09-02,GBP,0.74901
1.0,USD,2020-09-02,HKD,7.7502
1.0,USD,2020-09-02,HRK,6.3515
1.0,USD,2020-09-02,HUF,302.48
1.0,USD,2020-09-02,IDR,14745.0
1.0,USD,2020-09-02,ILS,3.3641
1.0,USD,2020-09-02,INR,73.198
1.0,USD,2020-09-02,ISK,138.69
1.0,USD,2020-09-02,JPY,106.23
1.0,USD,2020-09-02,KRW,1187.14
1.0,USD,2020-09-02,MXN,21.849
1.0,USD,2020-09-02,MYR,4.146
1.0,USD,2020-09-02,NOK,8.7733
1.0,USD,2020-09-02,NZD,1.4789
1.0,USD,2020-09-02,PHP,48.617
1.0,USD,2020-09-02,PLN,3.7253
1.0,USD,2020-09-02,RON,4.0825
1.0,USD,2020-09-02,RUB,74.252
1.0,USD,2020-09-02,SEK,8.6894
1.0,USD,2020-09-02,SGD,1.3619
1.0,USD,2020-09-02,THB,31.275
1.0,USD,2020-09-02,TRY,7.3845
1.0,USD,2020-09-02,ZAR,16.7907
