amount,base_currency,date,currency,exchange_rate
1.0,USD,2007-07-18,AUD,1.1396
1.0,USD,2007-07-18,BGN,1.4194
1.0,USD,2007-07-18,CAD,1.0463
1.0,USD,2007-07-18,CHF,1.2027
1.0,USD,2007-07-18,CNY,7.564
1.0,USD,2007-07-18,CYP,0.42398
1.0,USD,2007-07-18,CZK,20.501
1.0,USD,2007-07-18,DKK,5.4004
1.0,USD,2007-07-18,EEK,11.3554
1.0,USD,2007-07-18,EUR,0.72574
1.0,USD,2007-07-18,GBP,0.4877
1.0,USD,2007-07-18,HKD,7.821
1.0,USD,2007-07-18,HRK,5.2896
1.0,USD,2007-07-18,HUF,178.48
1.0,USD,2007-07-18,IDR,9100.0
1.0,USD,2007-07-18,ISK,59.736
1.0,USD,2007-07-18,JPY,122.14
1.0,USD,2007-07-18,KRW,916.2
1.0,USD,2007-07-18,LTL,2.5058
1.0,USD,2007-07-18,LVL,0.50577
1.0,USD,2007-07-18,MTL,0.31156
1.0,USD,2007-07-18,MYR,3.452
1.0,USD,2007-07-18,NOK,5.7497
1.0,USD,2007-07-18,NZD,1.2632
1.0,USD,2007-07-18,PHP,45.25
1.0,USD,2007-07-18,PLN,2.7283
1.0,USD,2007-07-18,RON,2.2702
1.0,USD,2007-07-18,RUB,25.46
1.0,USD,2007-07-18,SEK,6.6565
1.0,USD,2007-07-18,SGD,1.5191
1.0,USD,2007-07-18,SKK,24.063
1.0,USD,2007-07-18,THB,30.24
1.0,USD,2007-07-18,TRY,1.2779
1.0,USD,2007-07-18,ZAR,6.9753
