amount,base_currency,date,currency,exchange_rate
1.0,USD,2008-12-09,AUD,1.5264
1.0,USD,2008-12-09,BGN,1.5234
1.0,USD,2008-12-09,BRL,2.4805
1.0,USD,2008-12-09,CAD,1.2596
1.0,USD,2008-12-09,CHF,1.2146
1.0,USD,2008-12-09,CNY,6.8735
1.0,USD,2008-12-09,CZK,20.048
1.0,USD,2008-12-09,DKK,5.803
1.0,USD,2008-12-09,EEK,12.1877
1.0,USD,2008-12-09,EUR,0.77894
1.0,USD,2008-12-09,GBP,0.67853
1.0,USD,2008-12-09,HKD,7.7504
1.0,USD,2008-12-09,HRK,5.5971
1.0,USD,2008-12-09,HUF,205.08
1.0,USD,2008-12-09,IDR,11050.0
1.0,USD,2008-12-09,ISK,225.89
1.0,USD,2008-12-09,JPY,92.58
1.0,USD,2008-12-09,KRW,1431.5
1.0,USD,2008-12-09,LTL,2.6895
1.0,USD,2008-12-09,LVL,0.55234
1.0,USD,2008-12-09,MXN,13.47
1.0,USD,2008-12-09,MYR,3.6175
1.0,USD,2008-12-09,NOK,7.1273
1.0,USD,2008-12-09,NZD,1.8484
1.0,USD,2008-12-09,PHP,48.543
1.0,USD,2008-12-09,PLN,3.055
1.0,USD,2008-12-09,RON,3.0311
1.0,USD,2008-12-09,RUB,28.026
1.0,USD,2008-12-09,SEK,8.1838
1.0,USD,2008-12-09,SGD,1.505
1.0,USD,2008-12-09,SKK,23.509
1.0,USD,2008-12-09,THB,35.445
1.0,USD,2008-12-09,TRY,1.5844
1.0,USD,2008-12-09,ZAR,10.1925
