amount,base_currency,date,currency,exchange_rate
1.0,USD,2003-02-05,AUD,1.6888
1.0,USD,2003-02-05,BGN,1.7927
1.0,USD,2003-02-05,CAD,1.5145
1.0,USD,2003-02-05,CHF,1.3443
1.0,USD,2003-02-05,CYP,0.53163
1.0,USD,2003-02-05,CZK,29.133
1.0,USD,2003-02-05,DKK,6.8155
1.0,USD,2003-02-05,EEK,14.3415
1.0,USD,2003-02-05,EUR,0.91659
1.0,USD,2003-02-05,GBP,0.60559
1.0,USD,2003-02-05,HKD,7.7996
1.0,USD,2003-02-05,HUF,224.79
1.0,USD,2003-02-05,ISK,75.738
1.0,USD,2003-02-05,JPY,119.43
1.0,USD,2003-02-05,KRW,1174.25
1.0,USD,2003-02-05,LTL,3.1644
1.0,USD,2003-02-05,LVL,0.57507
1.0,USD,2003-02-05,MTL,0.38598
1.0,USD,2003-02-05,NOK,6.9326
1.0,USD,2003-02-05,NZD,1.8162
1.0,USD,2003-02-05,PLN,3.817
1.0,USD,2003-02-05,ROL,32963.0
1.0,USD,2003-02-05,SEK,8.4775
1.0,USD,2003-02-05,SGD,1.7378
1.0,USD,2003-02-05,SIT,211.92
1.0,USD,2003-02-05,SKK,38.324
1.0,USD,2003-02-05,TRL,1642530.0
1.0,USD,2003-02-05,ZAR,8.4
