amount,base_currency,date,currency,exchange_rate
1.0,USD,2025-03-05,AUD,1.5925
1.0,USD,2025-03-05,BGN,1.8289
1.0,USD,2025-03-05,BRL,5.8854
1.0,USD,2025-03-05,CAD,1.4399
1.0,USD,2025-03-05,CHF,0.88966
1.0,USD,2025-03-05,CNY,7.2634
1.0,USD,2025-03-05,CZK,23.422
1.0,USD,2025-03-05,DKK,6.9748
1.0,USD,2025-03-05,EUR,0.9351
1.0,USD,2025-03-05,GBP,0.78081
1.0,USD,2025-03-05,HKD,7.7713
1.0,USD,2025-03-05,HUF,372.97
1.0,USD,2025-03-05,IDR,16362.0
1.0,USD,2025-03-05,ILS,3.6235
1.0,USD,2025-03-05,INR,87.05
1.0,USD,2025-03-05,ISK,136.99
1.0,USD,2025-03-05,JPY,149.7
1.0,USD,2025-03-05,KRW,1450.95
1.0,USD,2025-03-05,MXN,20.581
1.0,USD,2025-03-05,MYR,4.4295
1.0,USD,2025-03-05,NOK,11.0529
1.0,USD,2025-03-05,NZD,1.761
1.0,USD,2025-03-05,PHP,57.399
1.0,USD,2025-03-05,PLN,3.8807
1.0,USD,2025-03-05,RON,4.6529
1.0,USD,2025-03-05,SEK,10.2978
1.0,USD,2025-03-05,SGD,1.3373
1.0,USD,2025-03-05,THB,33.675
1.0,USD,2025-03-05,TRY,36.434
1.0,USD,2025-03-05,ZAR,18.4423
