amount,base_currency,date,currency,exchange_rate
1.0,USD,2016-01-13,AUD,1.425
1.0,USD,2016-01-13,BGN,1.8082
1.0,USD,2016-01-13,BRL,3.9954
1.0,USD,2016-01-13,CAD,1.4221
1.0,USD,2016-01-13,CHF,1.0102
1.0,USD,2016-01-13,CNY,6.5755
1.0,USD,2016-01-13,CZK,24.982
1.0,USD,2016-01-13,DKK,6.8985
1.0,USD,2016-01-13,EUR,0.92456
1.0,USD,2016-01-13,GBP,0.6936
1.0,USD,2016-01-13,HKD,7.7591
1.0,USD,2016-01-13,HRK,7.0886
1.0,USD,2016-01-13,HUF,291.63
1.0,USD,2016-01-13,IDR,13820.0
1.0,USD,2016-01-13,ILS,3.9418
1.0,USD,2016-01-13,INR,66.865
1.0,USD,2016-01-13,JPY,118.1
1.0,USD,2016-01-13,KRW,1203.01
1.0,USD,2016-01-13,MXN,17.8235
1.0,USD,2016-01-13,MYR,4.3807
1.0,USD,2016-01-13,NOK,8.8376
1.0,USD,2016-01-13,NZD,1.5273
1.0,USD,2016-01-13,PHP,47.414
1.0,USD,2016-01-13,PLN,4.0179
1.0,USD,2016-01-13,RON,4.1882
1.0,USD,2016-01-13,RUB,76.1
1.0,USD,2016-01-13,SEK,8.5484
1.0,USD,2016-01-13,SGD,1.4323
1.0,USD,2016-01-13,THB,36.245
1.0,USD,2016-01-13,TRY,3.0165
1.0,USD,2016-01-13,ZAR,16.4897
