amount,base_currency,date,currency,exchange_rate
1.0,USD,2025-07-15,AUD,1.5246
1.0,USD,2025-07-15,BGN,1.6766
1.0,USD,2025-07-15,BRL,5.6003
1.0,USD,2025-07-15,CAD,1.3693
1.0,USD,2025-07-15,CHF,0.79717
1.0,USD,2025-07-15,CNY,7.173
1.0,USD,2025-07-15,CZK,21.149
1.0,USD,2025-07-15,DKK,6.3983
1.0,USD,2025-07-15,EUR,0.85727
1.0,USD,2025-07-15,GBP,0.74402
1.0,USD,2025-07-15,HKD,7.85
1.0,USD,2025-07-15,HUF,343.32
1.0,USD,2025-07-15,IDR,16263.0
1.0,USD,2025-07-15,ILS,3.3464
1.0,USD,2025-07-15,INR,85.86
1.0,USD,2025-07-15,ISK,122.07
1.0,USD,2025-07-15,JPY,147.95
1.0,USD,2025-07-15,KRW,1381.06
1.0,USD,2025-07-15,MXN,18.7047
1.0,USD,2025-07-15,MYR,4.242
1.0,USD,2025-07-15,NOK,10.177
1.0,USD,2025-07-15,NZD,1.6694
1.0,USD,2025-07-15,PHP,56.695
1.0,USD,2025-07-15,PLN,3.6477
1.0,USD,2025-07-15,RON,4.354
1.0,USD,2025-07-15,SEK,9.6614
1.0,USD,2025-07-15,SGD,1.282
1.0,USD,2025-07-15,THB,32.475
1.0,USD,2025-07-15,TRY,40.215
1.0,USD,2025-07-15,ZAR,17.8123
