amount,base_currency,date,currency,exchange_rate
1.0,USD,2018-08-14,AUD,1.3761
1.0,USD,2018-08-14,BGN,1.7147
1.0,USD,2018-08-14,BRL,3.8702
1.0,USD,2018-08-14,CAD,1.3071
1.0,USD,2018-08-14,CHF,0.99053
1.0,USD,2018-08-14,CNY,6.8813
1.0,USD,2018-08-14,CZK,22.525
1.0,USD,2018-08-14,DKK,6.5356
1.0,USD,2018-08-14,EUR,0.87673
1.0,USD,2018-08-14,GBP,0.78292
1.0,USD,2018-08-14,HKD,7.85
1.0,USD,2018-08-14,HRK,6.5096
1.0,USD,2018-08-14,HUF,282.96
1.0,USD,2018-08-14,IDR,14580.0
1.0,USD,2018-08-14,ILS,3.6916
1.0,USD,2018-08-14,INR,69.904
1.0,USD,2018-08-14,ISK,108.71
1.0,USD,2018-08-14,JPY,110.84
1.0,USD,2018-08-14,KRW,1128.0
1.0,USD,2018-08-14,MXN,18.983
1.0,USD,2018-08-14,MYR,4.0877
1.0,USD,2018-08-14,NOK,8.3531
1.0,USD,2018-08-14,NZD,1.5147
1.0,USD,2018-08-14,PHP,53.49
1.0,USD,2018-08-14,PLN,3.7693
1.0,USD,2018-08-14,RON,4.0825
1.0,USD,2018-08-14,RUB,66.503
1.0,USD,2018-08-14,SEK,9.0933
1.0,USD,2018-08-14,SGD,1.3738
1.0,USD,2018-08-14,THB,33.275
1.0,USD,2018-08-14,TRY,6.5126
1.0,USD,2018-08-14,ZAR,14.1894
