amount,base_currency,date,currency,exchange_rate
1.0,USD,2017-02-15,AUD,1.3037
1.0,USD,2017-02-15,BGN,1.853
1.0,USD,2017-02-15,BRL,3.0796
1.0,USD,2017-02-15,CAD,1.3083
1.0,USD,2017-02-15,CHF,1.0092
1.0,USD,2017-02-15,CNY,6.8708
1.0,USD,2017-02-15,CZK,25.6
1.0,USD,2017-02-15,DKK,7.0436
1.0,USD,2017-02-15,EUR,0.94742
1.0,USD,2017-02-15,GBP,0.80529
1.0,USD,2017-02-15,HKD,7.7615
1.0,USD,2017-02-15,HRK,7.0647
1.0,USD,2017-02-15,HUF,292.2
1.0,USD,2017-02-15,IDR,13322.0
1.0,USD,2017-02-15,ILS,3.7458
1.0,USD,2017-02-15,INR,66.888
1.0,USD,2017-02-15,JPY,114.5
1.0,USD,2017-02-15,KRW,1141.97
1.0,USD,2017-02-15,MXN,20.349
1.0,USD,2017-02-15,MYR,4.449
1.0,USD,2017-02-15,NOK,8.3868
1.0,USD,2017-02-15,NZD,1.3932
1.0,USD,2017-02-15,PHP,49.947
1.0,USD,2017-02-15,PLN,4.0753
1.0,USD,2017-02-15,RON,4.2769
1.0,USD,2017-02-15,RUB,57.774
1.0,USD,2017-02-15,SEK,8.9539
1.0,USD,2017-02-15,SGD,1.4223
1.0,USD,2017-02-15,THB,35.03
1.0,USD,2017-02-15,TRY,3.6629
1.0,USD,2017-02-15,ZAR,13.046
