amount,base_currency,date,currency,exchange_rate
1.0,USD,2025-01-31,AUD,1.607
1.0,USD,2025-01-31,BGN,1.8818
1.0,USD,2025-01-31,BRL,5.8383
1.0,USD,2025-01-31,CAD,1.4466
1.0,USD,2025-01-31,CHF,0.90917
1.0,USD,2025-01-31,CNY,7.2513
1.0,USD,2025-01-31,CZK,24.214
1.0,USD,2025-01-31,DKK,7.1796
1.0,USD,2025-01-31,EUR,0.96219
1.0,USD,2025-01-31,GBP,0.80446
1.0,USD,2025-01-31,HKD,7.7927
1.0,USD,2025-01-31,HUF,392.52
1.0,USD,2025-01-31,IDR,16300.0
1.0,USD,2025-01-31,ILS,3.5792
1.0,USD,2025-01-31,INR,86.59
1.0,USD,2025-01-31,ISK,141.15
1.0,USD,2025-01-31,JPY,154.9
1.0,USD,2025-01-31,KRW,1449.65
1.0,USD,2025-01-31,MXN,20.665
1.0,USD,2025-01-31,MYR,4.455
1.0,USD,2025-01-31,NOK,11.2935
1.0,USD,2025-01-31,NZD,1.7696
1.0,USD,2025-01-31,PHP,58.387
1.0,USD,2025-01-31,PLN,4.0537
1.0,USD,2025-01-31,RON,4.7885
1.0,USD,2025-01-31,SEK,11.0401
1.0,USD,2025-01-31,SGD,1.3558
1.0,USD,2025-01-31,THB,33.595
1.0,USD,2025-01-31,TRY,35.857
1.0,USD,2025-01-31,ZAR,18.6268
