amount,base_currency,date,currency,exchange_rate
1.0,USD,2009-01-29,AUD,1.521
1.0,USD,2009-01-29,BGN,1.4917
1.0,USD,2009-01-29,BRL,2.2725
1.0,USD,2009-01-29,CAD,1.2175
1.0,USD,2009-01-29,CHF,1.1489
1.0,USD,2009-01-29,CNY,6.838
1.0,USD,2009-01-29,CZK,20.959
1.0,USD,2009-01-29,DKK,5.6839
1.0,USD,2009-01-29,EEK,11.9339
1.0,USD,2009-01-29,EUR,0.76272
1.0,USD,2009-01-29,GBP,0.6996
1.0,USD,2009-01-29,HKD,7.7565
1.0,USD,2009-01-29,HRK,5.6221
1.0,USD,2009-01-29,HUF,219.11
1.0,USD,2009-01-29,IDR,11375.0
1.0,USD,2009-01-29,INR,48.72
1.0,USD,2009-01-29,JPY,90.05
1.0,USD,2009-01-29,KRW,1369.7
1.0,USD,2009-01-29,LTL,2.6335
1.0,USD,2009-01-29,LVL,0.53299
1.0,USD,2009-01-29,MXN,14.115
1.0,USD,2009-01-29,MYR,3.599
1.0,USD,2009-01-29,NOK,6.7119
1.0,USD,2009-01-29,NZD,1.9292
1.0,USD,2009-01-29,PHP,46.808
1.0,USD,2009-01-29,PLN,3.3438
1.0,USD,2009-01-29,RON,3.2362
1.0,USD,2009-01-29,RUB,34.878
1.0,USD,2009-01-29,SEK,8.0346
1.0,USD,2009-01-29,SGD,1.5045
1.0,USD,2009-01-29,THB,34.905
1.0,USD,2009-01-29,TRY,1.6192
1.0,USD,2009-01-29,ZAR,9.9137
