amount,base_currency,date,currency,exchange_rate
1.0,USD,2008-03-31,AUD,1.0963
1.0,USD,2008-03-31,BGN,1.2369
1.0,USD,2008-03-31,BRL,1.7426
1.0,USD,2008-03-31,CAD,1.0262
1.0,USD,2008-03-31,CHF,0.99532
1.0,USD,2008-03-31,CNY,7.012
1.0,USD,2008-03-31,CZK,16.0226
1.0,USD,2008-03-31,DKK,4.7159
1.0,USD,2008-03-31,EEK,9.8954
1.0,USD,2008-03-31,EUR,0.63243
1.0,USD,2008-03-31,GBP,0.50329
1.0,USD,2008-03-31,HKD,7.7836
1.0,USD,2008-03-31,HRK,4.5971
1.0,USD,2008-03-31,HUF,164.07
1.0,USD,2008-03-31,IDR,9215.0
1.0,USD,2008-03-31,ISK,75.626
1.0,USD,2008-03-31,JPY,99.53
1.0,USD,2008-03-31,KRW,991.0
1.0,USD,2008-03-31,LTL,2.1837
1.0,USD,2008-03-31,LVL,0.44156
1.0,USD,2008-03-31,MXN,10.687
1.0,USD,2008-03-31,MYR,3.1985
1.0,USD,2008-03-31,NOK,5.0917
1.0,USD,2008-03-31,NZD,1.2699
1.0,USD,2008-03-31,PHP,41.56
1.0,USD,2008-03-31,PLN,2.2274
1.0,USD,2008-03-31,RON,2.3569
1.0,USD,2008-03-31,RUB,23.471
1.0,USD,2008-03-31,SEK,5.943
1.0,USD,2008-03-31,SGD,1.3799
1.0,USD,2008-03-31,SKK,20.606
1.0,USD,2008-03-31,THB,31.485
1.0,USD,2008-03-31,TRY,1.3076
1.0,USD,2008-03-31,ZAR,8.1026
