amount,base_currency,date,currency,exchange_rate
1.0,USD,2020-06-08,AUD,1.4316
1.0,USD,2020-06-08,BGN,1.7331
1.0,USD,2020-06-08,BRL,4.9359
1.0,USD,2020-06-08,CAD,1.3404
1.0,USD,2020-06-08,CHF,0.96243
1.0,USD,2020-06-08,CNY,7.0745
1.0,USD,2020-06-08,CZK,23.558
1.0,USD,2020-06-08,DKK,6.6066
1.0,USD,2020-06-08,EUR,0.88613
1.0,USD,2020-06-08,GBP,0.79019
1.0,USD,2020-06-08,HKD,7.7501
1.0,USD,2020-06-08,HRK,6.7036
1.0,USD,2020-06-08,HUF,304.97
1.0,USD,2020-06-08,IDR,14014.0
1.0,USD,2020-06-08,ILS,3.448
1.0,USD,2020-06-08,INR,75.534
1.0,USD,2020-06-08,ISK,132.48
1.0,USD,2020-06-08,JPY,109.36
1.0,USD,2020-06-08,KRW,1199.11
1.0,USD,2020-06-08,MXN,21.553
1.0,USD,2020-06-08,MYR,4.2675
1.0,USD,2020-06-08,NOK,9.2692
1.0,USD,2020-06-08,NZD,1.5322
1.0,USD,2020-06-08,PHP,49.89
1.0,USD,2020-06-08,PLN,3.9285
1.0,USD,2020-06-08,RON,4.2852
1.0,USD,2020-06-08,RUB,68.282
1.0,USD,2020-06-08,SEK,9.2138
1.0,USD,2020-06-08,SGD,1.3912
1.0,USD,2020-06-08,THB,31.435
1.0,USD,2020-06-08,TRY,6.7855
1.0,USD,2020-06-08,ZAR,16.8187
