amount,base_currency,date,currency,exchange_rate
1.0,USD,2007-11-05,AUD,1.0881
1.0,USD,2007-11-05,BGN,1.3499
1.0,USD,2007-11-05,CAD,0.93367
1.0,USD,2007-11-05,CHF,1.1518
1.0,USD,2007-11-05,CNY,7.4551
1.0,USD,2007-11-05,CYP,0.40323
1.0,USD,2007-11-05,CZK,18.6189
1.0,USD,2007-11-05,DKK,5.1452
1.0,USD,2007-11-05,EEK,10.7997
1.0,USD,2007-11-05,EUR,0.69023
1.0,USD,2007-11-05,GBP,0.48054
1.0,USD,2007-11-05,HKD,7.7645
1.0,USD,2007-11-05,HRK,5.0697
1.0,USD,2007-11-05,HUF,174.57
1.0,USD,2007-11-05,IDR,9160.0
1.0,USD,2007-11-05,ISK,59.235
1.0,USD,2007-11-05,JPY,114.16
1.0,USD,2007-11-05,KRW,908.1
1.0,USD,2007-11-05,LTL,2.3832
1.0,USD,2007-11-05,LVL,0.48502
1.0,USD,2007-11-05,MTL,0.29631
1.0,USD,2007-11-05,MYR,3.3485
1.0,USD,2007-11-05,NOK,5.3945
1.0,USD,2007-11-05,NZD,1.3043
1.0,USD,2007-11-05,PHP,43.7
1.0,USD,2007-11-05,PLN,2.5156
1.0,USD,2007-11-05,RON,2.3251
1.0,USD,2007-11-05,RUB,24.642
1.0,USD,2007-11-05,SEK,6.3901
1.0,USD,2007-11-05,SGD,1.4504
1.0,USD,2007-11-05,SKK,22.978
1.0,USD,2007-11-05,THB,31.66
1.0,USD,2007-11-05,TRY,1.1896
1.0,USD,2007-11-05,ZAR,6.587
