amount,base_currency,date,currency,exchange_rate
1.0,USD,2006-06-13,AUD,1.3499
1.0,USD,2006-06-13,BGN,1.5558
1.0,USD,2006-06-13,CAD,1.1061
1.0,USD,2006-06-13,CHF,1.2343
1.0,USD,2006-06-13,CNY,8.008
1.0,USD,2006-06-13,CYP,0.4574
1.0,USD,2006-06-13,CZK,22.538
1.0,USD,2006-06-13,DKK,5.9298
1.0,USD,2006-06-13,EEK,12.4466
1.0,USD,2006-06-13,EUR,0.79548
1.0,USD,2006-06-13,GBP,0.54359
1.0,USD,2006-06-13,HKD,7.7631
1.0,USD,2006-06-13,HRK,5.7738
1.0,USD,2006-06-13,HUF,215.36
1.0,USD,2006-06-13,IDR,9495.0
1.0,USD,2006-06-13,ISK,74.926
1.0,USD,2006-06-13,JPY,114.66
1.0,USD,2006-06-13,KRW,961.65
1.0,USD,2006-06-13,LTL,2.7466
1.0,USD,2006-06-13,LVL,0.55373
1.0,USD,2006-06-13,MTL,0.3415
1.0,USD,2006-06-13,MYR,3.6848
1.0,USD,2006-06-13,NOK,6.2111
1.0,USD,2006-06-13,NZD,1.6112
1.0,USD,2006-06-13,PHP,53.32
1.0,USD,2006-06-13,PLN,3.209
1.0,USD,2006-06-13,RON,2.8143
1.0,USD,2006-06-13,RUB,27.098
1.0,USD,2006-06-13,SEK,7.3624
1.0,USD,2006-06-13,SGD,1.5962
1.0,USD,2006-06-13,SIT,190.63
1.0,USD,2006-06-13,SKK,30.308
1.0,USD,2006-06-13,THB,38.532
1.0,USD,2006-06-13,TRY,1.6116
1.0,USD,2006-06-13,ZAR,6.8477
