amount,base_currency,date,currency,exchange_rate
1.0,USD,2007-12-28,AUD,1.1388
1.0,USD,2007-12-28,BGN,1.3312
1.0,USD,2007-12-28,CAD,0.97938
1.0,USD,2007-12-28,CHF,1.1301
1.0,USD,2007-12-28,CNY,7.3041
1.0,USD,2007-12-28,CYP,0.39836
1.0,USD,2007-12-28,CZK,18.0915
1.0,USD,2007-12-28,DKK,5.0753
1.0,USD,2007-12-28,EEK,10.6497
1.0,USD,2007-12-28,EUR,0.68064
1.0,USD,2007-12-28,GBP,0.50014
1.0,USD,2007-12-28,HKD,7.8015
1.0,USD,2007-12-28,HRK,4.9897
1.0,USD,2007-12-28,HUF,172.75
1.0,USD,2007-12-28,IDR,9394.0
1.0,USD,2007-12-28,ISK,62.149
1.0,USD,2007-12-28,JPY,113.08
1.0,USD,2007-12-28,KRW,936.4
1.0,USD,2007-12-28,LTL,2.3501
1.0,USD,2007-12-28,LVL,0.47441
1.0,USD,2007-12-28,MTL,0.2922
1.0,USD,2007-12-28,MYR,3.318
1.0,USD,2007-12-28,NOK,5.4274
1.0,USD,2007-12-28,NZD,1.2926
1.0,USD,2007-12-28,PHP,41.275
1.0,USD,2007-12-28,PLN,2.4513
1.0,USD,2007-12-28,RON,2.456
1.0,USD,2007-12-28,RUB,24.494
1.0,USD,2007-12-28,SEK,6.4309
1.0,USD,2007-12-28,SGD,1.4461
1.0,USD,2007-12-28,SKK,22.87
1.0,USD,2007-12-28,THB,29.975
1.0,USD,2007-12-28,TRY,1.1692
1.0,USD,2007-12-28,ZAR,6.8072
