amount,base_currency,date,currency,exchange_rate
1.0,USD,2006-05-22,AUD,1.3323
1.0,USD,2006-05-22,BGN,1.5336
1.0,USD,2006-05-22,CAD,1.1254
1.0,USD,2006-05-22,CHF,1.2161
1.0,USD,2006-05-22,CNY,8.0226
1.0,USD,2006-05-22,CYP,0.45087
1.0,USD,2006-05-22,CZK,22.183
1.0,USD,2006-05-22,DKK,5.8463
1.0,USD,2006-05-22,EEK,12.269
1.0,USD,2006-05-22,EUR,0.78413
1.0,USD,2006-05-22,GBP,0.53344
1.0,USD,2006-05-22,HKD,7.7542
1.0,USD,2006-05-22,HRK,5.7014
1.0,USD,2006-05-22,HUF,207.25
1.0,USD,2006-05-22,IDR,9325.0
1.0,USD,2006-05-22,ISK,71.936
1.0,USD,2006-05-22,JPY,112.56
1.0,USD,2006-05-22,KRW,952.4
1.0,USD,2006-05-22,LTL,2.7074
1.0,USD,2006-05-22,LVL,0.54575
1.0,USD,2006-05-22,MTL,0.33663
1.0,USD,2006-05-22,MYR,3.6295
1.0,USD,2006-05-22,NOK,6.1209
1.0,USD,2006-05-22,NZD,1.6191
1.0,USD,2006-05-22,PHP,52.625
1.0,USD,2006-05-22,PLN,3.1071
1.0,USD,2006-05-22,RON,2.7884
1.0,USD,2006-05-22,RUB,27.07
1.0,USD,2006-05-22,SEK,7.3326
1.0,USD,2006-05-22,SGD,1.5905
1.0,USD,2006-05-22,SIT,187.89
1.0,USD,2006-05-22,SKK,29.601
1.0,USD,2006-05-22,THB,38.396
1.0,USD,2006-05-22,TRY,1.52
1.0,USD,2006-05-22,ZAR,6.6177
