amount,base_currency,date,currency,exchange_rate
1.0,USD,2021-04-30,AUD,1.2896
1.0,USD,2021-04-30,BGN,1.6188
1.0,USD,2021-04-30,BRL,5.3465
1.0,USD,2021-04-30,CAD,1.2278
1.0,USD,2021-04-30,CHF,0.91028
1.0,USD,2021-04-30,CNY,6.467
1.0,USD,2021-04-30,CZK,21.423
1.0,USD,2021-04-30,DKK,6.1546
1.0,USD,2021-04-30,EUR,0.82768
1.0,USD,2021-04-30,GBP,0.71895
1.0,USD,2021-04-30,HKD,7.7649
1.0,USD,2021-04-30,HRK,6.2461
1.0,USD,2021-04-30,HUF,297.85
1.0,USD,2021-04-30,IDR,14421.0
1.0,USD,2021-04-30,ILS,3.2444
1.0,USD,2021-04-30,INR,74.061
1.0,USD,2021-04-30,ISK,123.82
1.0,USD,2021-04-30,JPY,108.94
1.0,USD,2021-04-30,KRW,1114.25
1.0,USD,2021-04-30,MXN,20.058
1.0,USD,2021-04-30,MYR,4.0955
1.0,USD,2021-04-30,NOK,8.2381
1.0,USD,2021-04-30,NZD,1.3854
1.0,USD,2021-04-30,PHP,48.242
1.0,USD,2021-04-30,PLN,3.7771
1.0,USD,2021-04-30,RON,4.0792
1.0,USD,2021-04-30,RUB,75.079
1.0,USD,2021-04-30,SEK,8.4125
1.0,USD,2021-04-30,SGD,1.328
1.0,USD,2021-04-30,THB,31.16
1.0,USD,2021-04-30,TRY,8.2583
1.0,USD,2021-04-30,ZAR,14.3912
