amount,base_currency,date,currency,exchange_rate
1.0,USD,2004-12-31,AUD,1.2818
1.0,USD,2004-12-31,BGN,1.4359
1.0,USD,2004-12-31,CAD,1.2052
1.0,USD,2004-12-31,CHF,1.1327
1.0,USD,2004-12-31,CYP,0.42581
1.0,USD,2004-12-31,CZK,22.365
1.0,USD,2004-12-31,DKK,5.4613
1.0,USD,2004-12-31,EEK,11.4871
1.0,USD,2004-12-31,EUR,0.73416
1.0,USD,2004-12-31,GBP,0.51762
1.0,USD,2004-12-31,HKD,7.7734
1.0,USD,2004-12-31,HUF,180.58
1.0,USD,2004-12-31,ISK,61.376
1.0,USD,2004-12-31,JPY,102.53
1.0,USD,2004-12-31,KRW,1035.2
1.0,USD,2004-12-31,LTL,2.5349
1.0,USD,2004-12-31,LVL,0.51237
1.0,USD,2004-12-31,MTL,0.31885
1.0,USD,2004-12-31,NOK,6.0469
1.0,USD,2004-12-31,NZD,1.3854
1.0,USD,2004-12-31,PLN,2.9987
1.0,USD,2004-12-31,ROL,28919.0
1.0,USD,2004-12-31,SEK,6.6226
1.0,USD,2004-12-31,SGD,1.6344
1.0,USD,2004-12-31,SIT,176.02
1.0,USD,2004-12-31,SKK,28.445
1.0,USD,2004-12-31,TRL,1348065.0
1.0,USD,2004-12-31,ZAR,5.6455
